"x";"y";"srid","name";"place";"population"
17056784;-3324432;3857;"Nimbin";"town";352
12994554;-4160860;3857;"Walpole";"town";321
12851010;-3399929;3857;"Mingenew";"town";283
12919597;-3541904;3857;"Watheroo";"town";275
12832668;-3479149;3857;"Eneabba";"town";250
12665271;-2649862;3857;"Coral Bay";"town";190
12915326;-3488164;3857;"Coorow";"town";176
12857268;-3677785;3857;"Guilderton";"town";146
15486526;-4092200;3857;"Moculta";"town";110
14347519;-3720952;3857;"Eucla";"town";50
14273962;-3739393;3857;"Mundrabilla Roadhouse";"town";20
15671277;-2966386;3857;"Betoota";"town";0
15366778;-3808938;3857;"Quorn";"town";-1
16260067;-5029566;3857;"Penguin";"town";-1
16593944;-4220305;3857;"Tuggeranong";"town";-1
15379140;-4053702;3857;"Port Wakefield";"town";-1
15408420;-4048262;3857;"Balaklava";"town";-1
15330461;-4024107;3857;"Kadina";"town";-1
15320597;-4019516;3857;"Wallaroo";"town";-1
15316386;-4037876;3857;"Moonta";"town";-1
16815821;-4033074;3857;"Sutherland";"town";-1
16075389;-4582749;3857;"Lara";"town";-1
16777838;-4163213;3857;"Callala Bay";"town";-1
12914694;-3791698;3857;"Byford";"town";-1
16682205;-3989145;3857;"Oberon";"town";-1
12806286;-3542762;3857;"Jurien";"town";-1
12797939;-3512627;3857;"Green Head";"town";-1
16371067;-4424111;3857;"Harrietville";"town";-1
16359614;-4401325;3857;"Bright";"town";-1
16757217;-4128071;3857;"Kangaroo Valley";"town";-1
16658739;-4173629;3857;"Tarago";"town";-1
14887738;-2728861;3857;"Pine Gap";"town";-1
12880688;-3630010;3857;"Regans Ford";"town";-1
12857642;-3553829;3857;"Badgingarra";"town";-1
16461069;-5245136;3857;"Orford";"town";-1
16487082;-4172229;3857;"Gundagai";"town";-1
16166861;-4553259;3857;"Ringwood";"town";-1
16217995;-4544679;3857;"Warburton";"town";-1
16876213;-3019236;3857;"Proston";"town";-1
12931464;-3750377;3857;"Mundaring";"town";-1
13284698;-3662476;3857;"Southern Cross";"town";-1
13104901;-3715244;3857;"Kellerberrin";"town";-1
